age,ed,employ,address,income,debtinc,creddebt,othdebt,default
41,3,17,12,176.000000,9.300000,11.359392,5.008608,1
27,1,10,6,31.000000,17.300000,1.362202,4.000798,0
40,1,15,14,55.000000,5.500000,0.856075,2.168925,0
41,1,15,14,120.000000,2.900000,2.658720,0.821280,0
24,2,2,0,28.000000,17.300000,1.787436,3.056564,1
41,2,5,5,25.000000,10.200000,0.392700,2.157300,0
39,1,20,9,67.000000,30.600000,3.833874,16.668126,0
43,1,12,11,38.000000,3.600000,0.128592,1.239408,0
24,1,3,4,19.000000,24.400000,1.358348,3.277652,1
36,1,0,13,25.000000,19.700000,2.777700,2.147300,0
27,1,0,1,16.000000,1.700000,0.182512,0.089488,0
25,1,4,0,23.000000,5.200000,0.252356,0.943644,0
52,1,24,14,64.000000,10.000000,3.929600,2.470400,0
37,1,6,9,29.000000,16.300000,1.715901,3.011099,0
48,1,22,15,100.000000,9.100000,3.703700,5.396300,0
36,2,9,6,49.000000,8.600000,0.817516,3.396484,1
36,2,13,6,41.000000,16.400000,2.918216,3.805784,1
43,1,23,19,72.000000,7.600000,1.181952,4.290048,0
39,1,6,9,61.000000,5.700000,0.563274,2.913726,0
41,3,0,21,26.000000,1.700000,0.099008,0.342992,0
39,1,22,3,52.000000,3.200000,1.154816,0.509184,0
47,1,17,21,43.000000,5.600000,0.587552,1.820448,0
28,1,3,6,26.000000,10.000000,0.431600,2.168400,0
29,1,8,6,27.000000,9.800000,0.402192,2.243808,0
21,2,1,2,16.000000,18.000000,0.241920,2.638080,1
25,4,0,2,32.000000,17.600000,2.140160,3.491840,0
45,2,9,26,69.000000,6.700000,0.707319,3.915681,0
43,1,25,21,64.000000,16.700000,0.951232,9.736768,0
33,2,12,8,58.000000,18.400000,3.084208,7.587792,0
26,3,2,1,37.000000,14.200000,0.204906,5.049094,0
45,1,3,15,20.000000,2.100000,0.105000,0.315000,0
30,1,1,10,22.000000,10.500000,1.138830,1.171170,0
27,3,2,7,26.000000,6.000000,0.722280,0.837720,0
25,1,8,4,27.000000,14.400000,1.018656,2.869344,0
25,1,8,1,35.000000,2.900000,0.077140,0.937860,0
26,2,6,7,45.000000,26.000000,6.048900,5.651100,0
30,2,10,4,22.000000,16.100000,1.409716,2.132284,0
32,2,12,1,54.000000,14.400000,3.195936,4.580064,0
28,2,1,8,24.000000,17.100000,1.337904,2.766096,1
45,1,23,5,50.000000,4.200000,0.558600,1.541400,0
23,1,7,2,31.000000,6.600000,0.337590,1.708410,0
34,1,17,3,59.000000,8.000000,1.807760,2.912240,0
42,2,7,23,41.000000,4.600000,0.941114,0.944886,0
39,1,19,5,48.000000,13.100000,1.930416,4.357584,0
26,1,0,0,14.000000,7.500000,0.302400,0.747600,1
21,2,0,1,16.000000,6.800000,0.150144,0.937856,0
35,1,13,15,35.000000,4.500000,0.431550,1.143450,0
47,1,4,2,26.000000,10.400000,0.121680,2.582320,0
23,2,0,2,21.000000,11.400000,0.775656,1.618344,1
35,1,18,2,42.000000,7.400000,0.205128,2.902872,0
34,1,2,11,25.000000,12.600000,0.573300,2.576700,1
46,1,1,12,20.000000,14.000000,0.809200,1.990800,0
46,1,16,18,52.000000,12.900000,3.032016,3.675984,1
38,3,3,18,25.000000,3.700000,0.311725,0.613275,0
40,2,3,2,28.000000,9.500000,0.553280,2.106720,0
37,1,1,3,24.000000,15.100000,1.801128,1.822872,1
