ID,Income,AppliedOnline,Residence,YearCurrentAddress,YearsCurrentEmployer,NumberOfCards,CCDebt,Loans,LoanAmount,SalePrice,Location,MortgageDefault
100272.000000,43593,"YES","Owner Occupier",13,0,1.000000,2315.000000,0.000000,12820.000000,180000,130,"NO"
100273.000000,45706,"YES","Owner Occupier",17,16,2.000000,373.000000,1.000000,7275.000000,145000,100,"YES"
100279.000000,44756,"YES","Owner Occupier",19,6,1.000000,2117.000000,1.000000,10760.000000,145000,110,"NO"
100280.000000,44202,"YES","Owner Occupier",8,0,2.000000,748.000000,0.000000,10455.000000,170000,100,"NO"
100282.000000,45715,"YES","Owner Occupier",8,14,2.000000,772.000000,1.000000,12985.000000,137000,100,"NO"
100283.000000,43800,"YES","Owner Occupier",0,4,2.000000,725.000000,0.000000,7340.000000,259000,100,"NO"
100284.000000,45049,"YES","Public Housing",6,16,2.000000,1345.000000,1.000000,9085.000000,280000,110,"NO"
100285.000000,44974,"YES","Public Housing",14,18,2.000000,2772.000000,0.000000,9515.000000,264000,130,"NO"
100288.000000,44956,"NO","Owner Occupier",21,21,2.000000,806.000000,1.000000,8150.000000,170000,100,"YES"
100292.000000,56087,"NO","Public Housing",27,18,1.000000,4818.000000,1.000000,8910.000000,95000,101,"NO"
100293.000000,48336,"NO","Owner Occupier",16,2,2.000000,1227.000000,0.000000,3705.000000,575000,120,"YES"
100294.000000,55642,"YES","Private Renting",4,22,2.000000,240.000000,0.000000,5925.000000,349900,130,"NO"
100295.000000,52725,"YES","Private Renting",26,9,2.000000,12.000000,0.000000,4415.000000,98000,100,"NO"
100303.000000,43795,"YES","Public Housing",17,5,2.000000,1171.000000,0.000000,11285.000000,153000,100,"YES"
100306.000000,43650,"YES","Public Housing",8,12,1.000000,267.000000,0.000000,7800.000000,355000,100,"NO"
100310.000000,43972,"YES","Private Renting",0,13,1.000000,340.000000,1.000000,7410.000000,525000,100,"YES"
100311.000000,43330,"YES","Owner Occupier",9,6,1.000000,25.000000,1.000000,9630.000000,355000,100,"NO"
100319.000000,59193,"YES","Owner Occupier",26,0,2.000000,2295.000000,1.000000,7350.000000,525000,100,"NO"
100320.000000,44483,"NO","Owner Occupier",16,15,2.000000,116.000000,0.000000,7535.000000,245000,130,"YES"
100321.000000,43185,"YES","Owner Occupier",1,9,2.000000,1646.000000,0.000000,8125.000000,235000,100,"NO"
100322.000000,50295,"NO","Owner Occupier",3,12,1.000000,298.000000,0.000000,6140.000000,950000,110,"NO"
100323.000000,46955,"NO","Owner Occupier",16,1,2.000000,201.000000,1.000000,3380.000000,210000,120,"YES"
100324.000000,51383,"NO","Owner Occupier",19,12,2.000000,1119.000000,1.000000,7955.000000,222500,101,"NO"
100325.000000,52540,"YES","Sheltered",0,15,2.000000,397.000000,0.000000,8250.000000,215000,120,"YES"
