ID,MortgageDefault
100272.000000,"NO"
100273.000000,"YES"
100279.000000,"NO"
100280.000000,"NO"
100282.000000,"NO"
100283.000000,"NO"
100284.000000,"NO"
100285.000000,"NO"
100288.000000,"YES"
100292.000000,"NO"
100293.000000,"YES"
100294.000000,"NO"
100295.000000,"NO"
100303.000000,"YES"
100306.000000,"NO"
100310.000000,"YES"
100311.000000,"NO"
100319.000000,"NO"
100320.000000,"YES"
100321.000000,"NO"
100322.000000,"NO"
100323.000000,"YES"
100324.000000,"NO"
100325.000000,"YES"
100326.000000,"NO"
100329.000000,"NO"
100330.000000,"YES"
100334.000000,"YES"
100337.000000,"YES"
100338.000000,"YES"
100342.000000,"NO"
100343.000000,"NO"
100344.000000,"NO"
100345.000000,"YES"
100346.000000,"YES"
100347.000000,"NO"
100348.000000,"YES"
100350.000000,"YES"
100352.000000,"YES"
100353.000000,"NO"
100354.000000,"YES"
100360.000000,"YES"
100361.000000,"YES"
100363.000000,"NO"
100365.000000,"NO"
100367.000000,"NO"
100368.000000,"NO"
100369.000000,"NO"
100373.000000,"NO"
100374.000000,"NO"
100375.000000,"YES"
100376.000000,"NO"
100377.000000,"YES"
100378.000000,"YES"
100379.000000,"NO"
100381.000000,"YES"
100382.000000,"NO"
100383.000000,"NO"
100384.000000,"NO"
100385.000000,"YES"
100386.000000,"NO"
100388.000000,"NO"
100389.000000,"YES"
100390.000000,"NO"
100394.000000,"NO"
100396.000000,"YES"
100398.000000,"NO"
100399.000000,"YES"
100402.000000,"NO"
100403.000000,"YES"
100405.000000,"NO"
100407.000000,"NO"
100409.000000,"NO"
100411.000000,"NO"
100412.000000,"NO"
100414.000000,"YES"
100415.000000,"YES"
100416.000000,"NO"
100417.000000,"YES"
100418.000000,"NO"
100419.000000,"YES"
100421.000000,"NO"
100422.000000,"NO"
100423.000000,"NO"
100424.000000,"NO"
100425.000000,"YES"
100430.000000,"YES"
100432.000000,"NO"
100436.000000,"NO"
100439.000000,"NO"
100440.000000,"NO"
100442.000000,"YES"
100443.000000,"YES"
100444.000000,"YES"
100445.000000,"YES"
100448.000000,"NO"
100449.000000,"YES"
100450.000000,"NO"
100451.000000,"NO"
100452.000000,"YES"
100453.000000,"YES"
100454.000000,"NO"
100456.000000,"NO"
100458.000000,"NO"
100465.000000,"NO"
100468.000000,"NO"
100470.000000,"YES"
100472.000000,"NO"
100473.000000,"NO"
100476.000000,"NO"
100477.000000,"NO"
100485.000000,"NO"
100486.000000,"NO"
100487.000000,"NO"
100488.000000,"YES"
100489.000000,"YES"
100490.000000,"YES"
100491.000000,"NO"
100492.000000,"YES"
100493.000000,"YES"
100494.000000,"YES"
100495.000000,"NO"
100496.000000,"YES"
100497.000000,"YES"
100499.000000,"YES"
100500.000000,"YES"
100503.000000,"NO"
100505.000000,"YES"
100506.000000,"NO"
100507.000000,"NO"
100510.000000,"NO"
100511.000000,"NO"
100512.000000,"YES"
100516.000000,"YES"
100519.000000,"NO"
100521.000000,"NO"
100522.000000,"NO"
100523.000000,"NO"
100524.000000,"NO"
100526.000000,"YES"
100527.000000,"YES"
100529.000000,"NO"
100530.000000,"NO"
100531.000000,"NO"
100532.000000,"NO"
100533.000000,"YES"
100534.000000,"YES"
100535.000000,"NO"
100536.000000,"YES"
100537.000000,"NO"
100539.000000,"NO"
100548.000000,"YES"
100549.000000,"YES"
100551.000000,"NO"
100558.000000,"NO"
100561.000000,"NO"
100562.000000,"YES"
100563.000000,"YES"
100565.000000,"NO"
100566.000000,"YES"
100567.000000,"YES"
100568.000000,"YES"
100569.000000,"YES"
100570.000000,"YES"
100571.000000,"NO"
100578.000000,"NO"
100579.000000,"NO"
100580.000000,"NO"
100581.000000,"NO"
100585.000000,"NO"
100586.000000,"YES"
100587.000000,"YES"
100588.000000,"YES"
100589.000000,"YES"
100590.000000,"YES"
100591.000000,"YES"
100592.000000,"NO"
100593.000000,"YES"
100594.000000,"YES"
100595.000000,"NO"
100596.000000,"NO"
100597.000000,"NO"
100598.000000,"YES"
100599.000000,"YES"
100600.000000,"YES"
100601.000000,"NO"
100602.000000,"NO"
100603.000000,"YES"
100604.000000,"YES"
100605.000000,"YES"
100614.000000,"YES"
100615.000000,"YES"
100618.000000,"NO"
100620.000000,"NO"
100621.000000,"NO"
100622.000000,"NO"
100623.000000,"YES"
100624.000000,"NO"
100625.000000,"NO"
100626.000000,"YES"
100627.000000,"YES"
100628.000000,"NO"
100629.000000,"YES"
100630.000000,"YES"
100633.000000,"YES"
100635.000000,"YES"
100640.000000,"YES"
100641.000000,"YES"
100642.000000,"YES"
100645.000000,"NO"
100650.000000,"YES"
100657.000000,"NO"
100660.000000,"NO"
100661.000000,"YES"
100662.000000,"YES"
100664.000000,"NO"
100665.000000,"NO"
100666.000000,"NO"
100668.000000,"NO"
100670.000000,"YES"
100671.000000,"YES"
100672.000000,"NO"
100676.000000,"NO"
100677.000000,"NO"
100679.000000,"NO"
100681.000000,"NO"
100682.000000,"NO"
100683.000000,"NO"
100684.000000,"NO"
100688.000000,"YES"
100691.000000,"NO"
100693.000000,"YES"
100694.000000,"NO"
100695.000000,"YES"
100696.000000,"NO"
100697.000000,"NO"
100698.000000,"NO"
100700.000000,"NO"
100701.000000,"NO"
100702.000000,"YES"
100703.000000,"NO"
100704.000000,"NO"
100705.000000,"YES"
100706.000000,"YES"
100707.000000,"YES"
100715.000000,"YES"
100716.000000,"NO"
100718.000000,"NO"
100720.000000,"YES"
100721.000000,"YES"
100722.000000,"NO"
100724.000000,"YES"
100725.000000,"NO"
100727.000000,"YES"
100728.000000,"NO"
100729.000000,"YES"
100730.000000,"YES"
100731.000000,"NO"
100732.000000,"YES"
100733.000000,"YES"
100736.000000,"NO"
100737.000000,"YES"
100739.000000,"NO"
100741.000000,"YES"
100745.000000,"YES"
100746.000000,"NO"
100749.000000,"NO"
100752.000000,"YES"
100753.000000,"YES"
100754.000000,"YES"
100755.000000,"NO"
100756.000000,"NO"
100757.000000,"NO"
100758.000000,"YES"
100759.000000,"YES"
100760.000000,"NO"
100761.000000,"YES"
100763.000000,"NO"
100764.000000,"NO"
100765.000000,"NO"
100766.000000,"YES"
100767.000000,"YES"
100768.000000,"NO"
100769.000000,"NO"
100770.000000,"NO"
100781.000000,"YES"
100782.000000,"YES"
100784.000000,"YES"
100785.000000,"NO"
100789.000000,"NO"
100790.000000,"YES"
100792.000000,"NO"
100793.000000,"YES"
100794.000000,"YES"
100795.000000,"NO"
100796.000000,"NO"
100797.000000,"NO"
100798.000000,"YES"
100799.000000,"NO"
100802.000000,"NO"
