CÛdigo IBGE do MunicÌpio;CÛdigo da Unidade da FederaÁ„o;Sigla da Unidade da FederaÁ„o;Nome das Grandes Regiıes;CÛdigo IBGE da Mesoregi„o;Nome da Mesoregi„o;CÛdigo IBGE da Microregi„o;Nome da Microregi„o;IDHM 1991;IDHM 2000;IDHM 2010
110001;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,329;0,483;0,641
110002;11;RO;Norte;1102;Leste Rondoniense;11003;Ariquemes;0,432;0,556;0,702
110003;11;RO;Norte;1102;Leste Rondoniense;11008;Colorado do Oeste;0,309;0,488;0,65
110004;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,407;0,567;0,718
110005;11;RO;Norte;1102;Leste Rondoniense;11008;Colorado do Oeste;0,386;0,542;0,692
110006;11;RO;Norte;1102;Leste Rondoniense;11008;Colorado do Oeste;0,376;0,545;0,685
110007;11;RO;Norte;1102;Leste Rondoniense;11008;Colorado do Oeste;0,203;0,401;0,613
110008;11;RO;Norte;1101;Madeira-Guapor⁄;11002;Guajarﬂ-Mirim;0,425;0,486;0,611
110009;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,388;0,501;0,672
110010;11;RO;Norte;1101;Madeira-Guapor⁄;11002;Guajarﬂ-Mirim;0,468;0,573;0,657
110011;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,352;0,514;0,689
110012;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,433;0,564;0,714
110013;11;RO;Norte;1102;Leste Rondoniense;11003;Ariquemes;0,286;0,449;0,596
110014;11;RO;Norte;1102;Leste Rondoniense;11005;Alvorada D'Oeste;0,272;0,459;0,643
110015;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,382;0,533;0,682
110018;11;RO;Norte;1102;Leste Rondoniense;11007;Vilhena;0,412;0,573;0,71
110020;11;RO;Norte;1101;Madeira-Guapor⁄;11001;Porto Velho;0,495;0,613;0,736
110025;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,348;0,485;0,664
110026;11;RO;Norte;1102;Leste Rondoniense;11003;Ariquemes;0,259;0,441;0,643
110028;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,383;0,559;0,7
110029;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,289;0,482;0,67
110030;11;RO;Norte;1102;Leste Rondoniense;11007;Vilhena;0,498;0,62;0,731
110032;11;RO;Norte;1102;Leste Rondoniense;11005;Alvorada D'Oeste;0,252;0,409;0,646
110033;11;RO;Norte;1101;Madeira-Guapor⁄;11001;Porto Velho;0,336;0,446;0,587
110034;11;RO;Norte;1102;Leste Rondoniense;11005;Alvorada D'Oeste;0,313;0,469;0,643
110037;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,241;0,402;0,592
110040;11;RO;Norte;1102;Leste Rondoniense;11003;Ariquemes;0,269;0,446;0,625
110045;11;RO;Norte;1101;Madeira-Guapor⁄;11001;Porto Velho;0,325;0,415;0,616
110050;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,199;0,442;0,634
110060;11;RO;Norte;1102;Leste Rondoniense;11003;Ariquemes;0,283;0,454;0,646
110070;11;RO;Norte;1101;Madeira-Guapor⁄;11001;Porto Velho;0,293;0,432;0,593
110080;11;RO;Norte;1101;Madeira-Guapor⁄;11001;Porto Velho;0,366;0,478;0,649
110090;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,221;0,498;0,658
110092;11;RO;Norte;1102;Leste Rondoniense;11007;Vilhena;0,281;0,479;0,652
110094;11;RO;Norte;1101;Madeira-Guapor⁄;11001;Porto Velho;0,237;0,425;0,612
110100;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,217;0,38;0,596
110110;11;RO;Norte;1101;Madeira-Guapor⁄;11001;Porto Velho;0,349;0,478;0,614
110120;11;RO;Norte;1102;Leste Rondoniense;11006;Cacoal;0,277;0,467;0,638
110130;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,254;0,47;0,643
110140;11;RO;Norte;1102;Leste Rondoniense;11003;Ariquemes;0,27;0,435;0,607
110143;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,228;0,405;0,587
110145;11;RO;Norte;1102;Leste Rondoniense;11007;Vilhena;0,174;0,412;0,617
110146;11;RO;Norte;1102;Leste Rondoniense;11008;Colorado do Oeste;0,28;0,524;0,665
110147;11;RO;Norte;1102;Leste Rondoniense;11007;Vilhena;0,284;0,439;0,641
110148;11;RO;Norte;1102;Leste Rondoniense;11007;Vilhena;0,232;0,466;0,649
110149;11;RO;Norte;1101;Madeira-Guapor⁄;11002;Guajarﬂ-Mirim;0,298;0,434;0,611
110150;11;RO;Norte;1102;Leste Rondoniense;11005;Alvorada D'Oeste;0,258;0,439;0,598
110155;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,226;0,44;0,643
110160;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,247;0,402;0,589
110170;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,23;0,424;0,609
110175;11;RO;Norte;1102;Leste Rondoniense;11003;Ariquemes;0,216;0,409;0,584
110180;11;RO;Norte;1102;Leste Rondoniense;11004;Ji-Paranﬂ;0,247;0,438;0,627
120001;12;AC;Norte;1202;Vale do Acre;12004;Rio Branco;0,247;0,451;0,604
120005;12;AC;Norte;1202;Vale do Acre;12005;Brasil⁄ia;0,314;0,425;0,588
120010;12;AC;Norte;1202;Vale do Acre;12005;Brasil⁄ia;0,336;0,476;0,614
120013;12;AC;Norte;1202;Vale do Acre;12004;Rio Branco;0,267;0,46;0,589
120017;12;AC;Norte;1202;Vale do Acre;12004;Rio Branco;0,183;0,365;0,575
120020;12;AC;Norte;1201;Vale do Juruﬂ;12001;Cruzeiro do Sul;0,398;0,51;0,664
120025;12;AC;Norte;1202;Vale do Acre;12005;Brasil⁄ia;0,372;0,474;0,653
120030;12;AC;Norte;1201;Vale do Juruﬂ;12002;Tarauacﬂ;0,258;0,323;0,539
120032;12;AC;Norte;1201;Vale do Juruﬂ;12002;Tarauacﬂ;0,17;0,222;0,469
120033;12;AC;Norte;1201;Vale do Juruﬂ;12001;Cruzeiro do Sul;0,298;0,456;0,625
120034;12;AC;Norte;1202;Vale do Acre;12003;Sena Madureira;0,218;0,395;0,551
120035;12;AC;Norte;1201;Vale do Juruﬂ;12001;Cruzeiro do Sul;0,186;0,301;0,501
120038;12;AC;Norte;1202;Vale do Acre;12004;Rio Branco;0,265;0,464;0,622
120039;12;AC;Norte;1201;Vale do Juruﬂ;12001;Cruzeiro do Sul;0,176;0,342;0,532
120040;12;AC;Norte;1202;Vale do Acre;12004;Rio Branco;0,485;0,591;0,727
120042;12;AC;Norte;1201;Vale do Juruﬂ;12001;Cruzeiro do Sul;0,245;0,399;0,567
120043;12;AC;Norte;1202;Vale do Acre;12003;Sena Madureira;0,167;0,277;0,517
120045;12;AC;Norte;1202;Vale do Acre;12004;Rio Branco;0,354;0,488;0,64
120050;12;AC;Norte;1202;Vale do Acre;12003;Sena Madureira;0,317;0,451;0,603
120060;12;AC;Norte;1201;Vale do Juruﬂ;12002;Tarauacﬂ;0,274;0,386;0,539
120070;12;AC;Norte;1202;Vale do Acre;12005;Brasil⁄ia;0,348;0,445;0,599
120080;12;AC;Norte;1202;Vale do Acre;12004;Rio Branco;0,259;0,443;0,576
130002;13;AM;Norte;1303;Centro Amazonense;13005;Tef⁄;0,306;0,373;0,527
130006;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,254;0,413;0,56
130008;13;AM;Norte;1303;Centro Amazonense;13006;Coari;0,307;0,408;0,594
130010;13;AM;Norte;1303;Centro Amazonense;13006;Coari;0,357;0,428;0,561
130014;13;AM;Norte;1304;Sul Amazonense;13013;Madeira;0,322;0,437;0,637
130020;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,246;0,348;0,45
130030;13;AM;Norte;1303;Centro Amazonense;13007;Manaus;0,357;0,42;0,577
130040;13;AM;Norte;1301;Norte Amazonense;13001;Rio Negro;0,317;0,384;0,5
130050;13;AM;Norte;1303;Centro Amazonense;13010;Parintins;0,293;0,399;0,574
130060;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,3;0,389;0,574
130063;13;AM;Norte;1303;Centro Amazonense;13006;Coari;0,272;0,34;0,506
130068;13;AM;Norte;1303;Centro Amazonense;13010;Parintins;0,287;0,372;0,565
130070;13;AM;Norte;1304;Sul Amazonense;13011;Boca do Acre;0,288;0,401;0,588
130080;13;AM;Norte;1304;Sul Amazonense;13013;Madeira;0,305;0,389;0,56
130083;13;AM;Norte;1303;Centro Amazonense;13006;Coari;0,258;0,403;0,569
130090;13;AM;Norte;1304;Sul Amazonense;13012;Purus;0,212;0,38;0,53
130100;13;AM;Norte;1302;Sudoeste Amazonense;13004;Juruﬂ;0,268;0,344;0,549
130110;13;AM;Norte;1303;Centro Amazonense;13007;Manaus;0,237;0,337;0,557
130115;13;AM;Norte;1303;Centro Amazonense;13007;Manaus;0,248;0,387;0,568
130120;13;AM;Norte;1303;Centro Amazonense;13006;Coari;0,312;0,389;0,586
130130;13;AM;Norte;1303;Centro Amazonense;13006;Coari;0,355;0,44;0,563
130140;13;AM;Norte;1302;Sudoeste Amazonense;13004;Juruﬂ;0,295;0,409;0,563
130150;13;AM;Norte;1302;Sudoeste Amazonense;13004;Juruﬂ;0,263;0,346;0,509
130160;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,243;0,32;0,53
130165;13;AM;Norte;1302;Sudoeste Amazonense;13004;Juruﬂ;0,266;0,381;0,532
130170;13;AM;Norte;1304;Sul Amazonense;13013;Madeira;0,296;0,475;0,605
130180;13;AM;Norte;1302;Sudoeste Amazonense;13004;Juruﬂ;0,257;0,318;0,481
130185;13;AM;Norte;1303;Centro Amazonense;13007;Manaus;0,323;0,437;0,613
130190;13;AM;Norte;1303;Centro Amazonense;13009;Itacoatiara;0,408;0,491;0,644
130195;13;AM;Norte;1302;Sudoeste Amazonense;13004;Juruﬂ;0,21;0,331;0,477
130200;13;AM;Norte;1303;Centro Amazonense;13009;Itacoatiara;0,409;0,478;0,654
130210;13;AM;Norte;1301;Norte Amazonense;13002;Japurﬂ;0,208;0,304;0,522
130220;13;AM;Norte;1302;Sudoeste Amazonense;13004;Juruﬂ;0,291;0,362;0,522
130230;13;AM;Norte;1302;Sudoeste Amazonense;13003;Alto Solimßes;0,187;0,304;0,516
