ID,SalePrice,Location
100272.000000,180000,130
100273.000000,145000,100
100279.000000,145000,110
100280.000000,170000,100
100282.000000,137000,100
100283.000000,259000,100
100284.000000,280000,110
100285.000000,264000,130
100288.000000,170000,100
100292.000000,95000,101
100293.000000,575000,120
100294.000000,349900,130
100295.000000,98000,100
100303.000000,153000,100
100306.000000,355000,100
100310.000000,525000,100
100311.000000,355000,100
100319.000000,525000,100
100320.000000,245000,130
100321.000000,235000,100
100322.000000,950000,110
100323.000000,210000,120
100324.000000,222500,101
100325.000000,215000,120
100326.000000,240000,120
100329.000000,150000,100
100330.000000,240000,120
100334.000000,310000,100
100337.000000,185000,101
100338.000000,103000,101
100342.000000,650000,101
100343.000000,349000,100
100344.000000,170000,120
100345.000000,159900,100
100346.000000,165000,100
100347.000000,235000,100
100348.000000,254500,130
100350.000000,420000,111
100352.000000,125000,130
100353.000000,190000,100
100354.000000,155000,130
100360.000000,235000,100
100361.000000,500000,130
100363.000000,284500,120
100365.000000,164000,101
100367.000000,875000,100
100368.000000,125000,100
100369.000000,325000,100
100373.000000,275000,100
100374.000000,117000,100
100375.000000,125000,101
100376.000000,150000,100
100377.000000,290000,110
100378.000000,149900,101
100379.000000,273500,120
100381.000000,309534,110
100382.000000,145000,130
100383.000000,156000,100
100384.000000,600000,100
100385.000000,260000,110
100386.000000,150000,100
100388.000000,260000,120
100389.000000,193000,101
100390.000000,537500,100
100394.000000,176000,100
100396.000000,300000,100
100398.000000,185000,100
100399.000000,275000,100
100402.000000,1290000,110
100403.000000,161000,100
100405.000000,499250,100
100407.000000,410000,101
100409.000000,350000,110
100411.000000,200000,130
100412.000000,570000,100
100414.000000,153000,100
100415.000000,173900,100
100416.000000,222000,100
100417.000000,210000,100
100418.000000,135000,130
100419.000000,165000,111
100421.000000,110000,100
100422.000000,290000,100
100423.000000,200000,100
100424.000000,400000,110
100425.000000,229500,100
100430.000000,255000,100
100432.000000,162000,101
100436.000000,260000,130
100439.000000,348500,100
100440.000000,1060000,101
100442.000000,200000,130
100443.000000,258000,100
100444.000000,220000,100
100445.000000,565000,120
100448.000000,197307,100
100449.000000,160000,120
100450.000000,180000,100
100451.000000,300000,110
100452.000000,315000,100
100453.000000,325000,100
100454.000000,220000,100
100456.000000,145000,130
100458.000000,475000,110
100465.000000,299000,101
100468.000000,132000,100
100470.000000,149000,100
100472.000000,340000,100
100473.000000,443000,100
100476.000000,150876,100
100477.000000,192500,100
100485.000000,185000,100
100486.000000,235000,130
100487.000000,190000,130
100488.000000,355000,100
100489.000000,265000,100
100490.000000,185000,111
100491.000000,300000,100
100492.000000,230000,100
100493.000000,106300,130
100494.000000,245000,130
100495.000000,150000,100
100496.000000,258000,100
100497.000000,285000,100
100499.000000,330000,100
100500.000000,535000,100
100503.000000,285000,100
100505.000000,146000,130
100506.000000,395000,110
100507.000000,650000,110
100510.000000,350000,100
100511.000000,144000,100
100512.000000,195000,100
100516.000000,195000,100
100519.000000,182500,130
100521.000000,287500,100
100522.000000,500000,110
100523.000000,360000,110
100524.000000,121000,100
100526.000000,147000,100
100527.000000,190500,100
100529.000000,150000,110
100530.000000,75000,100
100531.000000,190000,100
100532.000000,190000,100
100533.000000,250000,110
100534.000000,165000,100
100535.000000,210000,100
100536.000000,270000,100
100537.000000,140000,110
100539.000000,104000,130
100548.000000,170000,100
100549.000000,192000,100
100551.000000,125000,100
100558.000000,131500,100
100561.000000,245000,100
100562.000000,185000,100
100563.000000,265000,100
100565.000000,281915,100
100566.000000,265000,100
100567.000000,281915,100
100568.000000,565000,100
100569.000000,385000,120
100570.000000,440000,110
100571.000000,675000,130
100578.000000,209000,101
100579.000000,110000,110
100580.000000,220000,130
100581.000000,350000,100
100585.000000,235000,100
100586.000000,582000,120
100587.000000,175000,130
100588.000000,550000,100
100589.000000,650000,391
100590.000000,400000,100
100591.000000,157500,131
100592.000000,231000,130
100593.000000,250000,120
100594.000000,345000,110
100595.000000,365000,110
100596.000000,345000,110
100597.000000,365000,110
100598.000000,250000,130
100599.000000,195000,100
100600.000000,1000000,110
100601.000000,905000,110
100602.000000,175000,110
100603.000000,140000,100
100604.000000,180000,100
100605.000000,180000,101
100614.000000,180000,100
100615.000000,170000,120
100618.000000,215000,100
100620.000000,275000,111
100621.000000,350000,120
100622.000000,330000,100
100623.000000,447000,100
100624.000000,190000,100
100625.000000,199000,100
100626.000000,185000,130
100627.000000,270000,130
100628.000000,199000,100
100629.000000,250000,120
100630.000000,335000,100
100633.000000,215000,100
100635.000000,235000,120
100640.000000,260000,100
100641.000000,200000,130
100642.000000,285000,100
100645.000000,219000,100
100650.000000,167000,100
100657.000000,285000,100
100660.000000,455000,100
100661.000000,285000,100
100662.000000,270000,100
100664.000000,299500,100
100665.000000,430000,121
100666.000000,220000,111
100668.000000,190000,100
100670.000000,240000,110
100671.000000,360000,110
100672.000000,260000,100
100676.000000,135000,100
100677.000000,237500,110
100679.000000,474000,110
100681.000000,238000,101
100682.000000,200000,111
100683.000000,155500,100
100684.000000,215000,100
100688.000000,282000,130
100691.000000,288500,100
100693.000000,250000,110
100694.000000,130000,100
100695.000000,260000,100
100696.000000,330000,120
100697.000000,359850,100
100698.000000,275000,130
100700.000000,545000,100
100701.000000,325000,100
100702.000000,545000,100
100703.000000,325000,100
100704.000000,265000,100
100705.000000,250000,100
100706.000000,498500,100
100707.000000,145000,100
100715.000000,280000,110
100716.000000,315000,120
100718.000000,368000,101
100720.000000,475000,110
100721.000000,325000,100
100722.000000,242500,110
100724.000000,200000,120
100725.000000,207000,100
100727.000000,105000,101
100728.000000,105000,101
100729.000000,105000,101
100730.000000,105000,101
100731.000000,200000,100
100732.000000,275000,130
100733.000000,305000,130
100736.000000,179000,130
100737.000000,275000,130
100739.000000,305000,130
100741.000000,370000,110
100745.000000,290000,130
100746.000000,273000,120
100749.000000,252500,100
100752.000000,290000,100
100753.000000,250000,120
100754.000000,300000,130
100755.000000,378000,100
100756.000000,750000,110
100757.000000,150000,100
100758.000000,260000,100
100759.000000,390000,100
100760.000000,143000,101
100761.000000,215000,100
100763.000000,328000,100
100764.000000,295000,100
100765.000000,295000,100
100766.000000,540000,110
100767.000000,140000,101
100768.000000,285000,100
100769.000000,275000,100
100770.000000,319000,100
100781.000000,211000,130
100782.000000,410000,100
100784.000000,323600,100
100785.000000,175000,130
100789.000000,320000,110
100790.000000,275000,100
100792.000000,350000,100
100793.000000,380000,110
100794.000000,425000,100
100795.000000,625000,100
100796.000000,455000,100
100797.000000,260000,101
100798.000000,425000,110
100799.000000,2095000,101
100802.000000,170000,100
