REGISTRATION_ID,Big Screen TV,Computers,MP3,Smart Phone,Receivers,Speakers,Standard TV
"Ref001","T","F","F","F","F","T","F"
"Ref002","F","F","F","T","F","F","F"
"Ref003","T","F","T","F","F","T","T"
"Ref004","T","F","F","F","F","T","F"
"Ref005","F","F","F","F","F","T","T"
"Ref006","F","F","T","F","F","F","F"
"Ref007","F","T","F","T","T","F","F"
"Ref008","F","F","T","F","F","T","F"
"Ref009","F","F","T","F","T","F","T"
"Ref0010","F","T","F","F","T","F","F"
"Ref0011","F","T","T","F","F","F","F"
"Ref0012","F","F","F","F","T","F","T"
"Ref0013","F","T","F","F","T","F","T"
"Ref0014","T","F","F","F","F","F","F"
"Ref0015","F","F","F","F","T","F","T"
"Ref0016","T","T","F","T","T","T","F"
"Ref0017","F","F","T","F","F","T","F"
"Ref0018","T","F","F","T","F","T","F"
"Ref0019","F","T","T","F","T","F","T"
"Ref0020","T","F","F","F","F","T","F"
"Ref0021","F","T","F","T","T","F","F"
"Ref0022","F","F","T","F","F","F","F"
"Ref0023","F","F","F","F","F","F","T"
"Ref0024","F","T","T","F","T","F","F"
"Ref0025","F","F","T","F","F","T","T"
"Ref0026","F","F","T","F","T","F","F"
"Ref0027","F","F","T","F","F","F","T"
"Ref0028","F","F","T","T","F","F","T"
"Ref0029","F","F","T","F","F","T","F"
"Ref0030","F","T","F","F","T","F","F"
"Ref0031","F","F","T","T","F","F","F"
"Ref0032","F","F","F","F","F","F","T"
"Ref0033","T","F","F","F","F","T","T"
"Ref0034","T","F","F","F","F","T","F"
"Ref0035","F","T","T","F","F","F","F"
"Ref0036","F","F","T","F","T","F","T"
"Ref0037","F","F","T","F","T","F","F"
"Ref0038","T","F","F","F","F","T","F"
"Ref0039","F","F","T","F","F","F","F"
"Ref0040","T","F","F","F","F","T","F"
"Ref0041","F","T","F","F","F","T","F"
"Ref0042","T","F","F","F","F","T","T"
"Ref0043","T","F","F","F","F","T","F"
"Ref0044","T","F","F","F","F","T","F"
"Ref0045","T","F","T","F","F","F","F"
"Ref0046","T","F","F","F","F","F","F"
"Ref0047","F","T","F","F","F","T","F"
"Ref0048","F","T","F","F","F","T","F"
"Ref0049","F","F","F","F","T","F","F"
"Ref0050","T","F","F","F","F","T","F"
"Ref0051","F","T","F","F","T","F","T"
"Ref0052","F","F","F","F","F","T","F"
"Ref0053","F","F","F","F","T","F","T"
"Ref0054","F","F","T","T","F","F","T"
"Ref0055","F","T","T","F","F","F","T"
"Ref0056","F","F","T","F","T","F","T"
"Ref0057","F","T","F","F","T","F","T"
"Ref0058","F","F","F","F","T","F","T"
"Ref0059","F","F","F","F","T","F","F"
"Ref0060","F","T","T","F","T","F","F"
"Ref0061","F","T","T","F","F","F","F"
"Ref0062","F","T","F","F","T","F","T"
"Ref0063","F","F","T","F","F","F","T"
"Ref0064","F","F","F","F","F","T","F"
"Ref0065","T","F","F","F","F","T","T"
"Ref0066","T","F","F","F","F","T","F"
"Ref0067","F","F","T","F","F","T","F"
"Ref0068","F","F","F","F","T","F","T"
"Ref0069","F","F","F","F","F","T","F"
"Ref0070","T","F","F","F","F","T","T"
"Ref0071","T","F","F","F","F","F","F"
"Ref0072","T","F","F","F","F","F","F"
"Ref0073","T","F","F","F","F","T","F"
"Ref0074","F","F","T","F","F","T","F"
"Ref0075","T","F","F","F","F","F","F"
"Ref0076","F","F","T","F","F","F","F"
"Ref0077","F","T","F","T","F","F","T"
"Ref0078","F","T","F","F","F","F","F"
"Ref0079","T","F","F","F","T","T","T"
"Ref0080","F","F","T","F","F","F","F"
"Ref0081","T","F","F","T","F","F","F"
"Ref0082","T","F","T","F","F","T","F"
"Ref0083","F","F","T","F","F","F","F"
"Ref0084","F","T","F","F","T","F","T"
"Ref0085","T","T","F","F","F","T","F"
"Ref0086","T","F","T","F","F","F","F"
"Ref0087","F","F","F","F","F","T","F"
"Ref0088","F","F","F","F","F","T","F"
"Ref0089","F","T","F","F","F","T","F"
"Ref0090","F","F","T","F","F","T","F"
"Ref0091","T","T","T","F","T","T","F"
"Ref0092","F","T","F","T","T","F","F"
"Ref0093","F","F","T","F","F","F","T"
"Ref0094","F","F","F","T","F","T","T"
"Ref0095","T","F","F","F","F","F","F"
"Ref0096","F","F","F","T","F","F","T"
"Ref0097","F","T","F","T","T","F","T"
"Ref0098","T","F","F","F","F","F","F"
"Ref0099","F","F","F","F","T","F","F"
"Ref00100","F","F","T","F","T","F","F"
"Ref00101","T","F","T","F","F","T","F"
"Ref00102","T","F","F","T","F","T","F"
"Ref00103","F","F","T","F","T","T","F"
"Ref00104","T","F","T","T","F","F","F"
"Ref00105","F","F","T","F","F","F","F"
"Ref00106","T","T","F","F","F","T","F"
"Ref00107","F","F","F","F","F","F","T"
"Ref00108","F","F","F","F","F","T","T"
"Ref00109","F","F","T","T","T","F","F"
"Ref00110","F","F","F","T","F","F","T"
"Ref00111","F","T","F","F","T","F","F"
"Ref00112","F","F","F","T","F","F","T"
"Ref00113","F","T","T","F","F","F","F"
"Ref00114","F","F","T","F","T","F","T"
"Ref00115","F","F","F","T","F","F","F"
"Ref00116","F","F","F","F","F","F","T"
"Ref00117","F","T","T","T","F","F","T"
"Ref00118","T","F","F","F","F","T","T"
"Ref00119","F","T","F","F","F","F","F"
"Ref00120","F","F","T","F","T","F","T"
"Ref00121","F","T","F","F","F","T","F"
"Ref00122","F","T","F","F","T","F","F"
"Ref00123","F","T","F","F","F","F","F"
"Ref00124","F","F","F","F","T","F","F"
